buurt;raster_groen_m2;raster_verhard_m2;raster_water_m2;raster_groen_pct;raster_verhard_pct;raster_water_pct;raster_groen_per_inw;raster_groen_per_hh;bgt_groen_m2;bgt_verhard_m2;bgt_water_m2;bgt_groen_pct;bgt_verhard_pct;bgt_water_pct;bgt_groen_per_inw;bgt_groen_per_hh;aantal_inwoners;aantal_huishoudens;oppervlakte_buurt
Frans Halsbuurt;39248,06;80706,56;10906,94;29,99;61,67;8,33;20,23;36,85;8302,74;116809,56;11381,59;6,08;85,58;8,34;4,28;7,8;1940;1065;130862,67281125735
Garenkokerskwartier;53536,56;133434,44;11042,62;27,04;67,39;5,58;25,99;54,08;7094,7;189005,37;11418,17;3,42;91,08;5,5;3,44;7,17;2060;990;198016,95233075664
Geleerdenbuurt;73671,12;169323,69;6661,12;29,51;67,82;2,67;27,18;66,07;78832,12;271987,25;9016,79;21,91;75,59;2,51;29,09;70,7;2710;1115;249625,94759969358
Geneesherenbuurt;127982,56;178260,81;9482,06;40,54;56,46;3,0;46,79;107,1;61798,48;276545,63;9868,19;17,75;79,42;2,83;22,6;51,71;2735;1195;315744,287229723
Generaalsbuurt;15365,69;89286,94;0,0;14,68;85,32;0,0;7,5;13,6;134,89;107071,31;0,0;0,13;99,87;0,0;0,07;0,12;2050;1130;104652,28153086826
Geschiedschrijversbuurt;93604,56;248463,25;8026,5;26,74;70,97;2,29;37,0;71,73;52734,11;355973,85;10447,13;12,58;84,93;2,49;20,84;40,41;2530;1305;350094,2101049775
Haarlemmerhout;412379,31;17414,69;3469,81;95,18;4,02;0,8;10309,48;27491,95;326824,74;130888,87;3144,62;70,92;28,4;0,68;8170,62;21788,32;40;15;433264,6023505474
Hasselaersbuurt;39393,69;79639,25;4011,69;32,02;64,72;3,26;28,86;56,68;5621,92;117590,3;4574,15;4,4;92,02;3,58;4,12;8,09;1365;695;123044,76580479424
Heiliglanden;19227,31;102648,62;6255,38;15,01;80,11;4,88;13,54;21,73;4873,4;121224,54;6521,57;3,67;91,41;4,92;3,43;5,51;1420;885;128131,35397697204
Hekslootpolder;758315,31;18879,69;50542,0;91,61;2,28;6,11;50554,35;151663,06;713886,9;71507,56;51095,62;85,34;8,55;6,11;47592,46;142777,38;15;5;827738,2234408726
